[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [00000247A8CB5990] m_bytesTransited = 12800, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3280 CSpxUspRecoEngineAdapter::TryChangeState; audioState/uspState: 0/0 => 1/0 USP-START
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:278 CSpxUspRecoEngineAdapter::SetFormat: (0x00000247A8B12300)->PrepareFirstAudioReadyState()
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3296 CSpxUspRecoEngineAdapter::PrepareCompressionCodec: Prepare compression codec.
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8B12370; name='SPEECH-Compression-Codec-Module'; value=''
[594642]: 932ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-02T12:02:31.2995948Z, size:3200.
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:3358 CSpxUspRecoEngineAdapter::PrepareFirstAudioReadyState: (0x00000247A8B12300)->PrepareCompressionCodec() result:        4. Sending the audio uncompressed
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8B12370; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [00000247A8CB5990] m_bytesTransited = 16000, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[594642]: 932ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-02T12:02:31.2996538Z, size:3200.
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxPropertyBagImpl::SetStringValue: this=00000247A8AE5928; name='HttpHeader#User-agent'; value='SpeechSDK-Python/1.48.2 Windows Client 10'
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:379 CSpxUspRecoEngineAdapter::UspInitialize: this=0x00000247A8B12300
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [00000247A8CB5990] m_bytesTransited = 19200, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:141 Created 'CSpxUspCallbackWrapper' as '710381509'
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8B12370; name='SessionId'; value='9b980b07f42545d8b8fb20d308695d3f'
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1840 CSpxAudioStreamSession::GetScenarioCount: countSpeech=1; countTranslation=0; countDialog=0, countConversationTranscriber=0, countConversationTranscriberV2=0, countMeetingTranscriber=0, countLanguageId=0
[594642]: 932ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-02T12:02:31.2997071Z, size:3200.
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:887 CSpxUspRecoEngineAdapter::SetUspEndpointDefaultSpeechService: Endpoint type: Speech.
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:167 [00000247A8CB5990] m_bytesTransited = 22400, unacknowledgedAudioDuration = 0 msec, packetAudioDelay = 0 msec
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8B12370; name='SPEECH-Region'; value='eastus2'
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:464 [00000247A8BCAF00]CSpxAudioPump::PumpThread(): read frame duration: 0 ms => sending audio buffer size 3200
[817010]: 932ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:483 ISpxNamedProperties::GetStringValue: this=00000247A8B12370; name='SPEECH-RecoLanguage'; value='en-US'
[594642]: 932ms SPX_TRACE_VERBOSE:  audio_stream_session.cpp:483 Received audio chunk: time: 2026-03-02T12:02:31.2997415Z, size:3200.
[594642]: 932ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:497 CSpxAudioStreamSession::ProcessAudio: Non-acknowledged size = 0 bytes (0 msec)
